profile_id,sample_index,sample_seed,accepted,max_cr,error,offending_paths
P1,181,17800223,True,0.067287112600508,,
P1,182,17800224,True,0.029666608939086292,,
P1,183,17800225,True,0.08557988968742718,,
P1,184,17800226,True,0.03412335467121104,,
P1,185,17800227,True,0.02993145944415976,,
P1,186,17800228,True,0.026185601895313916,,
P1,187,17800229,True,0.03302247533981681,,
P1,188,17800230,True,0.04402750772928427,,
P1,189,17800231,True,0.03906735439593493,,
P1,190,17800232,True,0.03869117481626271,,
P1,191,17800233,True,0.036609515752876756,,
P1,192,17800234,True,0.04211238597170774,,
P1,193,17800235,True,0.07231308848930351,,
P1,194,17800236,True,0.05358892658547734,,
P1,195,17800237,True,0.03555854725343588,,
P1,196,17800238,True,0.039835079764736214,,
P1,197,17800239,True,0.04727742319423535,,
P1,198,17800240,True,0.07756966875580074,,
P1,199,17800241,True,0.03499778594270746,,
P2,0,18000042,True,0.07605026451653832,,
P2,1,18000043,True,0.04914757462901855,,
P2,2,18000044,True,0.09904794375569952,,
P2,3,18000045,True,0.031173372642532338,,
P2,4,18000046,True,0.05190864082661501,,
P2,5,18000047,True,0.042009616184650767,,
P2,6,18000048,True,0.06871020750789825,,
P2,7,18000049,True,0.049794292827258724,,
P2,8,18000050,True,0.02940380962403081,,
P2,9,18000051,True,0.02928386788882781,,
P2,10,18000052,True,0.04296047757753561,,
P2,11,18000053,True,0.043369923287977445,,
P2,12,18000054,True,0.044402838710628924,,
P2,13,18000055,True,0.03943464078704411,,
P2,14,18000056,True,0.03587610790436165,,
P2,15,18000057,True,0.04746071214375849,,
P2,16,18000058,True,0.04333272444966654,,
P2,17,18000059,True,0.04426704206029178,,
P2,18,18000060,True,0.030792814554109066,,
P2,19,18000061,True,0.0396419069019369,,
P2,20,18000062,True,0.03465675254706553,,
P2,21,18000063,True,0.08569808980945146,,
P2,22,18000064,True,0.046470299693644954,,
P2,23,18000065,True,0.051150979947605875,,
P2,24,18000066,False,0.11463774720924746,,
P2,25,18000067,True,0.02695536813858267,,
P2,26,18000068,True,0.044980023162630715,,
P2,27,18000069,True,0.047466098248495896,,
P2,28,18000070,True,0.03489870228109862,,
P2,29,18000071,False,0.10787413161516114,,
P2,30,18000072,True,0.04958944510393879,,
P2,31,18000073,True,0.045612675469864875,,
P2,32,18000074,True,0.05332938618304018,,
P2,33,18000075,True,0.056436217552837675,,
P2,34,18000076,True,0.048241990418020936,,
P2,35,18000077,True,0.040700096485614935,,
P2,36,18000078,True,0.04368232275717616,,
P2,37,18000079,True,0.03227031666275833,,
P2,38,18000080,True,0.05112859040711531,,
P2,39,18000081,True,0.04071778094657155,,
P2,40,18000082,True,0.06871020750789825,,
P2,41,18000083,True,0.052311043290686726,,
P2,42,18000084,True,0.037783595488928366,,
P2,43,18000085,True,0.041159309625350055,,
P2,44,18000086,True,0.034888797692630445,,
P2,45,18000087,True,0.06117453614950838,,
P2,46,18000088,True,0.06247236730891178,,
P2,47,18000089,True,0.08851198721339758,,
P2,48,18000090,True,0.038417019820024184,,
P2,49,18000091,True,0.042752809174190096,,
P2,50,18000092,False,0.16987324384658242,,
P2,51,18000093,True,0.044210083346001225,,
P2,52,18000094,True,0.06508669644564967,,
P2,53,18000095,True,0.074791307342055,,
P2,54,18000096,True,0.04828466153578213,,
P2,55,18000097,True,0.02925275008824048,,
P2,56,18000098,True,0.040976269286985424,,
P2,57,18000099,True,0.03628658640159601,,
P2,58,18000100,True,0.04876154478691398,,
P2,59,18000101,True,0.030723672349783085,,
P2,60,18000102,True,0.047172125866086045,,
P2,61,18000103,True,0.05301095251847455,,
P2,62,18000104,True,0.08867044708518179,,
P2,63,18000105,True,0.038200422524629525,,
P2,64,18000106,True,0.03495126793819136,,
P2,65,18000107,True,0.039814105872582196,,
P2,66,18000108,True,0.03103800395106235,,
P2,67,18000109,False,0.11218468571196209,,Model operation / Human
P2,68,18000110,True,0.08682590293457476,,
P2,69,18000111,False,0.10113867801940321,,
P2,70,18000112,False,0.13485371938276386,,
P2,71,18000113,True,0.03899344803940904,,
P2,72,18000114,True,0.04658634814803973,,
P2,73,18000115,True,0.041838281419166616,,
P2,74,18000116,True,0.06702586148711882,,
P2,75,18000117,True,0.04394354632637224,,
P2,76,18000118,True,0.039691739092970475,,
